"PeopleInHousehold","Region","State","MetroAreaCode","Age","Married","Sex","Education","Race","Hispanic","CountryOfBirthCode","Citizenship","EmploymentStatus","Industry"
1,"South","Alabama",26620,85,"Widowed","Female","Associate degree","White",0,57,"Citizen, Native","Retired",NA
3,"South","Alabama",13820,21,"Never Married","Male","High school","Black",0,57,"Citizen, Native","Unemployed","Professional and business services"
3,"South","Alabama",13820,37,"Never Married","Female","High school","Black",0,57,"Citizen, Native","Disabled",NA
3,"South","Alabama",13820,18,"Never Married","Male","No high school diploma","Black",0,57,"Citizen, Native","Not in Labor Force",NA
3,"South","Alabama",26620,52,"Widowed","Female","Associate degree","White",0,57,"Citizen, Native","Employed","Professional and business services"
3,"South","Alabama",26620,24,"Never Married","Male","Bachelor's degree","White",0,57,"Citizen, Native","Employed","Educational and health services"
3,"South","Alabama",26620,26,"Never Married","Male","High school","White",0,57,"Citizen, Native","Employed","Transportation and utilities"
2,"South","Alabama",33660,71,"Divorced","Female","High school","White",0,57,"Citizen, Native","Employed","Educational and health services"
2,"South","Alabama",33660,43,"Divorced","Male","High school","White",0,57,"Citizen, Native","Not in Labor Force",NA
2,"South","Alabama",26620,52,"Never Married","Male","Bachelor's degree","White",0,57,"Citizen, Native","Employed","Public administration"
2,"South","Alabama",26620,29,"Never Married","Male","Bachelor's degree","White",0,57,"Citizen, Native","Employed","Leisure and hospitality"
1,"South","Alabama",33860,68,"Widowed","Female","No high school diploma","Black",0,57,"Citizen, Native","Retired",NA
4,"South","Alabama",26620,24,"Divorced","Male","No high school diploma","White",0,57,"Citizen, Native","Employed","Professional and business services"
4,"South","Alabama",26620,2,NA,"Female",NA,"White",0,57,"Citizen, Native",NA,NA
4,"South","Alabama",26620,4,NA,"Male",NA,"White",0,57,"Citizen, Native",NA,NA
4,"South","Alabama",26620,22,"Never Married","Female","Some college, no degree","White",0,57,"Citizen, Native","Employed","Educational and health services"
2,"South","Alabama",13820,40,"Never Married","Female","Associate degree","Black",0,341,"Citizen, Naturalized","Employed","Educational and health services"
2,"South","Alabama",13820,13,NA,"Female",NA,"Black",0,57,"Citizen, Native",NA,NA
1,"South","Alabama",33860,42,"Never Married","Female","Doctorate degree","Black",0,57,"Citizen, Native","Employed","Educational and health services"
2,"South","Alabama",33660,45,"Divorced","Female","Bachelor's degree","Pacific Islander",0,233,"Citizen, Native","Employed","Educational and health services"
2,"South","Alabama",33660,48,"Divorced","Male","High school","Pacific Islander",0,57,"Citizen, Native","Employed","Public administration"
4,"South","Alabama",13820,78,"Widowed","Female","High school","Black",0,57,"Citizen, Native","Retired",NA
4,"South","Alabama",13820,52,"Never Married","Female","High school","Black",0,57,"Citizen, Native","Employed","Educational and health services"
4,"South","Alabama",13820,21,"Never Married","Female","Some college, no degree","Black",0,57,"Citizen, Native","Not in Labor Force",NA
4,"South","Alabama",13820,35,"Never Married","Female","High school","Black",0,57,"Citizen, Native","Disabled",NA
3,"South","Alabama",33860,30,"Married","Female","Some college, no degree","White",0,362,"Non-Citizen","Employed","Professional and business services"
3,"South","Alabama",33860,33,"Married","Male","Some college, no degree","White",0,57,"Citizen, Native","Employed","Trade"
3,"South","Alabama",33860,2,NA,"Female",NA,"White",0,57,"Citizen, Native",NA,NA
3,"South","Alabama",13820,60,"Widowed","Female","Associate degree","Black",0,57,"Citizen, Native","Not in Labor Force",NA
3,"South","Alabama",13820,24,"Never Married","Male","Some college, no degree","Black",0,57,"Citizen, Native","Employed","Professional and business services"
3,"South","Alabama",13820,29,"Never Married","Male","Some college, no degree","Black",0,57,"Citizen, Native","Employed","Trade"
1,"South","Alabama",26620,80,"Divorced","Male","Doctorate degree","White",0,57,"Citizen, Native","Retired",NA
6,"South","Alabama",33860,40,"Married","Female","No high school diploma","Black",0,57,"Citizen, Native","Not in Labor Force",NA
6,"South","Alabama",33860,52,"Married","Male","No high school diploma","Black",0,57,"Citizen, Native","Employed","Manufacturing"
6,"South","Alabama",33860,3,NA,"Female",NA,"Black",0,57,"Citizen, Native",NA,NA
6,"South","Alabama",33860,11,NA,"Female",NA,"Black",0,57,"Citizen, Native",NA,NA
6,"South","Alabama",33860,20,"Never Married","Male","High school","Black",0,57,"Citizen, Native","Employed","Manufacturing"
6,"South","Alabama",33860,23,"Never Married","Male","High school","Black",0,57,"Citizen, Native","Employed","Manufacturing"
2,"South","Alabama",33660,74,"Married","Male","No high school diploma","Black",0,57,"Citizen, Native","Retired",NA
2,"South","Alabama",33660,74,"Married","Female","High school","Black",0,57,"Citizen, Native","Retired",NA
2,"South","Alabama",13820,55,"Married","Male","Some college, no degree","Black",0,57,"Citizen, Native","Employed","Leisure and hospitality"
2,"South","Alabama",13820,48,"Married","Female","Bachelor's degree","Black",0,57,"Citizen, Native","Employed","Educational and health services"
1,"South","Alabama",33860,80,"Widowed","Female","No high school diploma","Black",0,57,"Citizen, Native","Retired",NA
1,"South","Alabama",33660,28,"Never Married","Male","Some college, no degree","White",0,57,"Citizen, Native","Not in Labor Force",NA
2,"South","Alabama",33860,70,"Married","Male","Master's degree","White",0,57,"Citizen, Native","Retired",NA
2,"South","Alabama",33860,69,"Married","Female","Master's degree","White",0,57,"Citizen, Native","Retired",NA
2,"South","Alabama",26620,24,"Never Married","Female","Some college, no degree","White",0,57,"Citizen, Native","Employed","Leisure and hospitality"
2,"South","Alabama",26620,5,NA,"Male",NA,"Black",0,57,"Citizen, Native",NA,NA
4,"South","Alabama",33660,49,"Married","Male","Bachelor's degree","White",0,57,"Citizen, Native","Employed","Trade"
4,"South","Alabama",33660,47,"Married","Female","Associate degree","White",0,57,"Citizen, Native","Employed","Educational and health services"
4,"South","Alabama",33660,14,NA,"Male",NA,"White",0,57,"Citizen, Native",NA,NA
4,"South","Alabama",33660,15,"Never Married","Female","No high school diploma","White",0,57,"Citizen, Native","Not in Labor Force",NA
1,"South","Alabama",33660,22,"Never Married","Male","High school","Black",0,57,"Citizen, Native","Disabled",NA
2,"South","Alabama",33660,63,"Married","Male","Master's degree","White",0,57,"Citizen, Native","Employed","Trade"
2,"South","Alabama",33660,62,"Married","Female","Some college, no degree","White",0,57,"Citizen, Native","Retired",NA
3,"South","Alabama",13820,62,"Separated","Female","High school","Black",0,57,"Citizen, Native","Disabled",NA
3,"South","Alabama",13820,5,NA,"Male",NA,"Black",0,57,"Citizen, Native",NA,NA
3,"South","Alabama",13820,11,NA,"Female",NA,"Black",0,57,"Citizen, Native",NA,NA
5,"South","Alabama",33860,33,"Never Married","Female","No high school diploma","Black",0,57,"Citizen, Native","Employed","Leisure and hospitality"
5,"South","Alabama",33860,9,NA,"Male",NA,"Black",0,57,"Citizen, Native",NA,NA
5,"South","Alabama",33860,12,NA,"Female",NA,"Black",0,57,"Citizen, Native",NA,NA
5,"South","Alabama",33860,14,NA,"Male",NA,"Black",0,57,"Citizen, Native",NA,NA
5,"South","Alabama",33860,16,"Never Married","Male","No high school diploma","Black",0,57,"Citizen, Native","Unemployed",NA
1,"South","Alabama",33660,72,"Never Married","Female","High school","Black",0,57,"Citizen, Native","Retired",NA
1,"South","Alabama",33860,73,"Divorced","Female","Bachelor's degree","White",0,57,"Citizen, Native","Employed","Other services"
2,"South","Alabama",26620,66,"Married","Male","High school","White",0,57,"Citizen, Native","Employed","Trade"
2,"South","Alabama",26620,66,"Married","Female","High school","White",0,57,"Citizen, Native","Retired",NA
2,"South","Alabama",26620,52,"Married","Male","Some college, no degree","White",0,57,"Citizen, Native","Employed","Other services"
2,"South","Alabama",26620,46,"Married","Female","Associate degree","White",0,57,"Citizen, Native","Employed","Manufacturing"
1,"South","Alabama",26620,23,"Never Married","Female","Bachelor's degree","White",0,57,"Citizen, Native","Employed","Manufacturing"
1,"South","Alabama",33860,54,"Separated","Female","No high school diploma","White",0,57,"Citizen, Native","Disabled",NA
3,"South","Alabama",13820,67,"Married","Male","Some college, no degree","Black",0,57,"Citizen, Native","Employed","Transportation and utilities"
3,"South","Alabama",13820,65,"Married","Female","Some college, no degree","Black",0,57,"Citizen, Native","Retired",NA
3,"South","Alabama",13820,66,"Divorced","Male","High school","Black",0,57,"Citizen, Native","Employed","Manufacturing"
4,"South","Alabama",13820,47,"Married","Male","Associate degree","Black",0,57,"Citizen, Native","Employed","Leisure and hospitality"
4,"South","Alabama",13820,46,"Married","Female","Associate degree","Black",0,57,"Citizen, Native","Employed","Financial"
4,"South","Alabama",13820,17,"Never Married","Female","No high school diploma","Black",0,57,"Citizen, Native","Not in Labor Force",NA
4,"South","Alabama",13820,21,"Never Married","Male","Some college, no degree","Black",0,57,"Citizen, Native","Unemployed","Leisure and hospitality"
2,"South","Alabama",33660,51,"Divorced","Male","Bachelor's degree","White",0,57,"Citizen, Native","Employed","Professional and business services"
2,"South","Alabama",33660,45,"Divorced","Female","Bachelor's degree","Pacific Islander",0,57,"Citizen, Native","Employed","Educational and health services"
1,"South","Alabama",13820,27,"Never Married","Female","Master's degree","Black",0,57,"Citizen, Native","Disabled",NA
1,"South","Alabama",13820,85,"Divorced","Female","Associate degree","Black",0,57,"Citizen, Native","Retired",NA
5,"South","Alabama",13820,45,"Married","Male","Bachelor's degree","White",0,57,"Citizen, Native","Employed","Transportation and utilities"
5,"South","Alabama",13820,41,"Married","Female","Master's degree","White",0,57,"Citizen, Native","Employed","Financial"
5,"South","Alabama",13820,10,NA,"Male",NA,"White",0,57,"Citizen, Native",NA,NA
5,"South","Alabama",13820,10,NA,"Male",NA,"White",0,57,"Citizen, Native",NA,NA
5,"South","Alabama",13820,16,"Never Married","Male","No high school diploma","White",0,57,"Citizen, Native","Not in Labor Force",NA
1,"South","Alabama",33660,30,"Never Married","Male","Some college, no degree","White",0,57,"Citizen, Native","Employed","Other services"
1,"South","Alabama",33660,35,"Never Married","Female","High school","Black",0,57,"Citizen, Native","Employed","Trade"
3,"South","Alabama",26620,73,"Married","Male","Doctorate degree","White",0,57,"Citizen, Native","Retired",NA
3,"South","Alabama",26620,51,"Married","Female","Doctorate degree","White",0,57,"Citizen, Native","Not in Labor Force",NA
3,"South","Alabama",26620,9,NA,"Male",NA,"White",0,57,"Citizen, Native",NA,NA
2,"South","Alabama",13820,25,"Never Married","Male","Bachelor's degree","White",0,57,"Citizen, Native","Employed","Educational and health services"
2,"South","Alabama",13820,31,"Never Married","Male","Bachelor's degree","White",0,57,"Citizen, Native","Employed","Educational and health services"
2,"South","Alabama",13820,22,"Married","Female","Some college, no degree","White",0,57,"Citizen, Native","Employed","Leisure and hospitality"
2,"South","Alabama",13820,24,"Married","Male","Bachelor's degree","White",0,57,"Citizen, Native","Employed","Educational and health services"
2,"South","Alabama",33860,72,"Married","Male","Some college, no degree","White",0,57,"Citizen, Native","Retired",NA
2,"South","Alabama",33860,66,"Married","Female","Some college, no degree","White",0,57,"Citizen, Native","Retired",NA
2,"South","Alabama",26620,20,"Never Married","Female","High school","Black",0,57,"Citizen, Native","Not in Labor Force","Leisure and hospitality"
2,"South","Alabama",26620,1,NA,"Female",NA,"Black",0,57,"Citizen, Native",NA,NA
1,"South","Alabama",13820,70,"Never Married","Female","High school","Black",0,57,"Citizen, Native","Retired",NA
1,"South","Alabama",26620,27,"Never Married","Female","Associate degree","Multiracial",0,57,"Citizen, Native","Unemployed","Trade"
1,"South","Alabama",26620,79,"Widowed","Female","High school","White",0,57,"Citizen, Native","Retired",NA
4,"South","Alabama",13820,50,"Divorced","Female","High school","Black",0,57,"Citizen, Native","Employed","Educational and health services"
4,"South","Alabama",13820,16,"Never Married","Male","No high school diploma","Black",0,57,"Citizen, Native","Not in Labor Force",NA
4,"South","Alabama",13820,18,"Never Married","Female","Some college, no degree","Black",0,57,"Citizen, Native","Not in Labor Force",NA
4,"South","Alabama",13820,22,"Never Married","Female","High school","Black",0,57,"Citizen, Native","Disabled",NA
2,"South","Alabama",33860,72,"Widowed","Female","No high school diploma","White",0,57,"Citizen, Native","Retired",NA
2,"South","Alabama",33860,41,"Divorced","Male","High school","White",0,57,"Citizen, Native","Employed","Manufacturing"
1,"South","Alabama",33660,40,"Never Married","Male","Bachelor's degree","White",0,57,"Citizen, Native","Employed","Professional and business services"
2,"South","Alabama",33860,64,"Married","Male","No high school diploma","Black",0,57,"Citizen, Native","Disabled",NA
2,"South","Alabama",33860,62,"Married","Female","No high school diploma","Black",0,57,"Citizen, Native","Disabled",NA
2,"South","Alabama",33660,38,"Never Married","Female","Bachelor's degree","White",0,57,"Citizen, Native","Employed","Educational and health services"
2,"South","Alabama",33660,35,"Never Married","Female","Associate degree","White",0,57,"Citizen, Native","Employed","Educational and health services"
2,"South","Alabama",33860,64,"Married","Male","High school","Black",0,57,"Citizen, Native","Retired",NA
2,"South","Alabama",33860,62,"Married","Female","Bachelor's degree","Black",0,57,"Citizen, Native","Employed","Educational and health services"
3,"South","Alabama",33660,55,"Never Married","Female","High school","Black",0,57,"Citizen, Native","Disabled",NA
3,"South","Alabama",33660,18,"Never Married","Male","No high school diploma","Black",0,57,"Citizen, Native","Not in Labor Force",NA
3,"South","Alabama",33660,24,"Never Married","Male","No high school diploma","Black",0,57,"Citizen, Native","Not in Labor Force",NA
2,"South","Alabama",13820,41,"Never Married","Female","High school","Black",0,57,"Citizen, Native","Disabled",NA
2,"South","Alabama",13820,19,"Never Married","Male","No high school diploma","Black",0,57,"Citizen, Native","Disabled",NA
3,"South","Alabama",33860,28,"Married","Male","Bachelor's degree","White",0,57,"Citizen, Native","Employed","Financial"
3,"South","Alabama",33860,29,"Married","Female","Bachelor's degree","White",0,57,"Citizen, Native","Employed","Public administration"
3,"South","Alabama",33860,3,NA,"Male",NA,"White",0,57,"Citizen, Native",NA,NA
4,"South","Alabama",33860,66,"Married","Female","Bachelor's degree","Black",0,57,"Citizen, Native","Employed","Professional and business services"
4,"South","Alabama",33860,67,"Married","Male","Master's degree","Black",0,57,"Citizen, Native","Employed","Professional and business services"
